"team","year","aproveitamento","evo","variacao","rank_evolucao"
Costa Rica,2014,67.00,0.00,67.00,1
Japan,2002,58.00,0.00,58.00,2
Italy,2006,90.00,33.00,57.00,3
France,2006,67.00,11.00,56.00,4
France,2014,67.00,11.00,56.00,4
Argentina,2022,86.00,33.00,53.00,5
Croatia,2018,86.00,33.00,53.00,5
Morocco,2022,62.00,11.00,51.00,6
Korea Republic,2002,62.00,11.00,51.00,6
Colombia,2014,80.00,33.00,47.00,7
United States,2002,47.00,0.00,47.00,7
England,2018,57.00,11.00,46.00,8
Slovenia,2010,44.00,0.00,44.00,9
Cameroon,2022,44.00,0.00,44.00,9
Uruguay,2010,62.00,22.00,40.00,10
Australia,2022,50.00,11.00,39.00,11
Japan,2010,50.00,11.00,39.00,11
Belgium,2014,80.00,42.00,38.00,12
Portugal,2006,71.00,33.00,38.00,12
Russia,2018,60.00,22.00,38.00,12
Spain,2002,80.00,44.00,36.00,13
IR Iran,2018,44.00,11.00,33.00,14
New Zealand,2010,33.00,0.00,33.00,14
Greece,2010,33.00,0.00,33.00,14
United States,2010,42.00,11.00,31.00,15
Uruguay,2018,80.00,50.00,30.00,16
Türkiye,2002,62.00,33.00,29.00,17
Brazil,2002,100.00,71.00,29.00,17
Netherlands,2010,86.00,58.00,28.00,18
Mexico,2014,58.00,33.00,25.00,19
Chile,2010,50.00,25.00,25.00,19
Switzerland,2006,58.00,33.00,25.00,19
France,2018,90.00,67.00,23.00,20
Argentina,2006,67.00,44.00,23.00,20
South Africa,2002,44.00,22.00,22.00,21
Japan,2018,33.00,11.00,22.00,21
Australia,2006,33.00,11.00,22.00,21
Tunisia,2018,33.00,11.00,22.00,21
Cameroon,2002,44.00,22.00,22.00,21
Algeria,2014,33.00,11.00,22.00,21
Costa Rica,2022,33.00,11.00,22.00,21
Saudi Arabia,2018,33.00,11.00,22.00,21
Nigeria,2014,33.00,11.00,22.00,21
Ghana,2022,33.00,11.00,22.00,21
Korea Republic,2018,33.00,11.00,22.00,21
Paraguay,2010,53.00,33.00,20.00,22
Germany,2014,90.00,71.00,19.00,23
Portugal,2022,60.00,42.00,18.00,24
Sweden,2018,60.00,42.00,18.00,24
Japan,2022,50.00,33.00,17.00,25
Ecuador,2006,50.00,33.00,17.00,25
Mexico,2002,58.00,42.00,16.00,26
England,2006,67.00,53.00,14.00,27
Argentina,2010,80.00,67.00,13.00,28
Denmark,2002,58.00,47.00,11.00,29
Saudi Arabia,2006,11.00,0.00,11.00,29
Tunisia,2022,44.00,33.00,11.00,29
Peru,2018,33.00,22.00,11.00,29
Italy,2014,33.00,22.00,11.00,29
Germany,2022,44.00,33.00,11.00,29
Australia,2018,11.00,0.00,11.00,29
Australia,2010,44.00,33.00,11.00,29
Croatia,2014,33.00,22.00,11.00,29
Côte d'Ivoire,2010,44.00,33.00,11.00,29
Spain,2010,86.00,75.00,11.00,29
England,2022,67.00,57.00,10.00,30
Germany,2006,86.00,76.00,10.00,30
United States,2022,42.00,33.00,9.00,31
Germany,2002,76.00,67.00,9.00,31
Spain,2018,42.00,33.00,9.00,31
Belgium,2002,42.00,33.00,9.00,31
Denmark,2018,42.00,33.00,9.00,31
Republic of Ireland,2002,42.00,33.00,9.00,31
Switzerland,2022,50.00,42.00,8.00,32
Netherlands,2006,58.00,52.00,6.00,33
Switzerland,2014,50.00,44.00,6.00,33
Argentina,2014,86.00,80.00,6.00,33
Belgium,2018,86.00,80.00,6.00,33
Senegal,2022,50.00,44.00,6.00,33
Brazil,2018,67.00,62.00,5.00,34
England,2002,53.00,50.00,3.00,35
Portugal,2014,44.00,42.00,2.00,36
Netherlands,2014,86.00,86.00,0.00,37
Cameroon,2014,0.00,0.00,0.00,37
Canada,2022,0.00,0.00,0.00,37
Chile,2014,50.00,50.00,0.00,37
Ecuador,2022,44.00,44.00,0.00,37
Greece,2014,33.00,33.00,0.00,37
IR Iran,2014,11.00,11.00,0.00,37
Korea Republic,2022,33.00,33.00,0.00,37
Mexico,2010,33.00,33.00,0.00,37
Algeria,2010,11.00,11.00,0.00,37
Nigeria,2010,11.00,11.00,0.00,37
Nigeria,2018,33.00,33.00,0.00,37
Paraguay,2006,33.00,33.00,0.00,37
Poland,2002,33.00,33.00,0.00,37
Poland,2006,33.00,33.00,0.00,37
Poland,2018,33.00,33.00,0.00,37
Poland,2022,33.00,33.00,0.00,37
Portugal,2002,33.00,33.00,0.00,37
Russia,2002,33.00,33.00,0.00,37
Saudi Arabia,2022,33.00,33.00,0.00,37
Serbia,2018,33.00,33.00,0.00,37
South Africa,2010,44.00,44.00,0.00,37
Sweden,2006,42.00,42.00,0.00,37
Tunisia,2002,11.00,11.00,0.00,37
Tunisia,2006,11.00,11.00,0.00,37
Portugal,2018,42.00,44.00,-2.00,38
Ghana,2010,47.00,50.00,-3.00,39
Brazil,2014,62.00,67.00,-5.00,40
Spain,2006,75.00,80.00,-5.00,40
Mexico,2022,44.00,50.00,-6.00,41
Ecuador,2014,44.00,50.00,-6.00,41
Costa Rica,2002,44.00,50.00,-6.00,41
Brazil,2022,60.00,67.00,-7.00,42
Switzerland,2018,42.00,50.00,-8.00,43
Mexico,2018,50.00,58.00,-8.00,43
Paraguay,2002,33.00,42.00,-9.00,44
United States,2014,33.00,42.00,-9.00,44
Spain,2022,33.00,42.00,-9.00,44
Senegal,2018,44.00,53.00,-9.00,44
Honduras,2010,11.00,22.00,-11.00,45
Russia,2014,22.00,33.00,-11.00,45
Saudi Arabia,2002,0.00,11.00,-11.00,45
Uruguay,2002,22.00,33.00,-11.00,45
Côte d'Ivoire,2014,33.00,44.00,-11.00,45
Croatia,2006,22.00,33.00,-11.00,45
Korea Republic,2010,33.00,44.00,-11.00,45
IR Iran,2022,33.00,44.00,-11.00,45
Honduras,2014,0.00,11.00,-11.00,45
Uruguay,2014,50.00,62.00,-12.00,46
Brazil,2010,67.00,80.00,-13.00,47
Switzerland,2010,44.00,58.00,-14.00,48
Germany,2010,71.00,86.00,-15.00,49
Korea Republic,2006,44.00,62.00,-18.00,50
Croatia,2022,67.00,86.00,-19.00,51
France,2022,71.00,90.00,-19.00,51
Netherlands,2022,67.00,86.00,-19.00,51
Brazil,2006,80.00,100.00,-20.00,52
IR Iran,2006,11.00,33.00,-22.00,53
Egypt,2018,0.00,22.00,-22.00,53
Korea Republic,2014,11.00,33.00,-22.00,53
Serbia,2022,11.00,33.00,-22.00,53
Denmark,2010,33.00,58.00,-25.00,54
Mexico,2006,33.00,58.00,-25.00,54
Sweden,2002,42.00,67.00,-25.00,54
England,2010,42.00,67.00,-25.00,54
Portugal,2010,42.00,71.00,-29.00,55
Wales,2022,11.00,40.00,-29.00,55
Colombia,2018,50.00,80.00,-30.00,56
Denmark,2022,11.00,42.00,-31.00,57
England,2014,11.00,42.00,-31.00,57
Morocco,2018,11.00,44.00,-33.00,58
Korea DPR,2010,0.00,33.00,-33.00,58
Italy,2002,33.00,67.00,-34.00,59
United States,2006,11.00,47.00,-36.00,60
Ghana,2014,11.00,47.00,-36.00,60
Uruguay,2022,44.00,80.00,-36.00,60
Argentina,2002,44.00,80.00,-36.00,60
Croatia,2002,33.00,71.00,-38.00,61
Japan,2014,11.00,50.00,-39.00,62
Nigeria,2002,11.00,50.00,-39.00,62
Belgium,2022,44.00,86.00,-42.00,63
Cameroon,2010,0.00,44.00,-44.00,64
Australia,2014,0.00,44.00,-44.00,64
Costa Rica,2006,0.00,44.00,-44.00,64
Japan,2006,11.00,58.00,-47.00,65
Argentina,2018,33.00,86.00,-53.00,66
Spain,2014,33.00,86.00,-53.00,66
Costa Rica,2018,11.00,67.00,-56.00,67
France,2010,11.00,67.00,-56.00,67
Germany,2018,33.00,90.00,-57.00,68
Italy,2010,22.00,90.00,-68.00,69
France,2002,11.00,100.00,-89.00,70
