Team,matches_played,wins,draws,losses,goals_scored,goals_conceded,knockout_matches,knockout_wins,win_rate,goal_difference,avg_goals_scored,avg_goals_conceded,knockout_win_rate,gd_per_match,modern_score
Argentina,31,21,3,7,52,32,13,9,0.6774193548387096,20,1.6774193548387097,1.032258064516129,0.6923076923076923,0.6451612903225806,84.7
Australia,17,4,3,10,17,32,2,0,0.23529411764705882,-15,1.0,1.8823529411764706,0.0,-0.8823529411764706,47.4
Belgium,19,12,3,4,29,18,7,4,0.631578947368421,11,1.5263157894736843,0.9473684210526315,0.5714285714285714,0.5789473684210527,80.4
Brazil,34,24,3,7,64,30,16,10,0.7058823529411765,34,1.8823529411764706,0.8823529411764706,0.625,1.0,92.0
Cameroon,12,2,2,8,9,21,0,0,0.16666666666666666,-12,0.75,1.75,0.0,-1.0,42.0
Costa Rica,17,5,3,9,18,33,2,1,0.29411764705882354,-15,1.0588235294117647,1.9411764705882353,0.5,-0.8823529411764706,53.1
Croatia,23,12,4,7,32,28,8,6,0.5217391304347826,4,1.391304347826087,1.2173913043478262,0.75,0.17391304347826086,74.6
Denmark,14,4,4,6,12,16,2,0,0.2857142857142857,-4,0.8571428571428571,1.1428571428571428,0.0,-0.2857142857142857,53.2
Ecuador,13,5,2,6,14,14,1,0,0.38461538461538464,0,1.0769230769230769,1.0769230769230769,0.0,0.0,60.4
England,29,13,7,9,42,26,11,5,0.4482758620689655,16,1.4482758620689655,0.896551724137931,0.45454545454545453,0.5517241379310345,77.7
France,32,18,6,8,50,27,14,11,0.5625,23,1.5625,0.84375,0.7857142857142857,0.71875,84.9
Germany,34,24,3,7,70,27,16,13,0.7058823529411765,43,2.0588235294117645,0.7941176470588235,0.8125,1.2647058823529411,100.0
Ghana,15,5,2,8,18,23,3,1,0.3333333333333333,-5,1.2,1.5333333333333334,0.3333333333333333,-0.3333333333333333,61.0
IR Iran,12,2,3,7,9,19,0,0,0.16666666666666666,-10,0.75,1.5833333333333333,0.0,-0.8333333333333334,44.2
Italy,17,8,4,5,23,15,5,4,0.47058823529411764,8,1.3529411764705883,0.8823529411764706,0.8,0.47058823529411764,78.5
Japan,22,7,4,11,24,29,4,0,0.3181818181818182,-5,1.0909090909090908,1.3181818181818181,0.0,-0.22727272727272727,57.5
Korea Republic,24,8,5,11,28,35,6,2,0.3333333333333333,-7,1.1666666666666667,1.4583333333333333,0.3333333333333333,-0.2916666666666667,61.0
Mexico,23,9,5,9,23,26,5,0,0.391304347826087,-3,1.0,1.1304347826086956,0.0,-0.13043478260869565,57.4
Morocco,10,4,2,4,8,9,4,2,0.4,-1,0.8,0.9,0.5,-0.1,59.6
Netherlands,23,17,2,4,40,16,11,7,0.7391304347826086,24,1.7391304347826086,0.6956521739130435,0.6363636363636364,1.0434782608695652,90.5
Nigeria,13,2,3,8,10,17,1,0,0.15384615384615385,-7,0.7692307692307693,1.3076923076923077,0.0,-0.5384615384615384,48.5
Paraguay,12,4,3,5,11,11,3,1,0.3333333333333333,0,0.9166666666666666,0.9166666666666666,0.3333333333333333,0.0,61.1
Poland,13,4,1,8,10,21,1,0,0.3076923076923077,-11,0.7692307692307693,1.6153846153846154,0.0,-0.8461538461538461,44.3
Portugal,26,12,5,9,42,29,8,3,0.46153846153846156,13,1.6153846153846154,1.1153846153846154,0.375,0.5,78.8
Russia,11,4,2,5,17,14,2,1,0.36363636363636365,3,1.5454545454545454,1.2727272727272727,0.5,0.2727272727272727,75.9
Saudi Arabia,12,2,1,9,7,31,0,0,0.16666666666666666,-24,0.5833333333333334,2.5833333333333335,0.0,-2.0,26.1
Senegal,12,5,3,4,16,17,3,1,0.4166666666666667,-1,1.3333333333333333,1.4166666666666667,0.3333333333333333,-0.08333333333333333,66.3
Spain,27,16,3,8,47,27,9,5,0.5925925925925926,20,1.7407407407407407,1.0,0.5555555555555556,0.7407407407407407,85.7
Sweden,13,5,4,4,14,13,4,1,0.38461538461538464,1,1.0769230769230769,1.0,0.25,0.07692307692307693,63.8
Switzerland,19,8,4,7,22,22,4,0,0.42105263157894735,0,1.1578947368421053,1.1578947368421053,0.0,0.0,61.6
Tunisia,12,2,3,7,10,20,0,0,0.16666666666666666,-10,0.8333333333333334,1.6666666666666667,0.0,-0.8333333333333334,45.5
United States,20,5,7,8,22,28,5,1,0.25,-6,1.1,1.4,0.2,-0.3,58.6
Uruguay,22,11,4,7,28,24,7,3,0.5,4,1.2727272727272727,1.0909090909090908,0.42857142857142855,0.18181818181818182,69.9
