Team,matches_played,wins,draws,losses,goals_scored,goals_conceded,total_yellow_cards,total_red_cards,knockout_matches,knockout_wins,win_rate,goal_difference,avg_goals_scored,avg_goals_conceded,knockout_win_rate,discipline_score,discipline_per_match,gd_per_match,titles,is_champion
Algeria,13,3,3,7,13,19,16,2,1,0,0.23076923076923078,-6,1.0,1.4615384615384615,0.0,20,1.5384615384615385,-0.46153846153846156,0,0
Angola,3,0,2,1,1,2,10,1,0,0,0.0,-1,0.3333333333333333,0.6666666666666666,0.0,12,4.0,-0.3333333333333333,0,0
Argentina,88,53,10,25,152,101,142,8,29,19,0.6022727272727273,51,1.7272727272727273,1.1477272727272727,0.6551724137931034,158,1.7954545454545454,0.5795454545454546,3,1
Australia,20,4,4,12,17,37,39,4,2,0,0.2,-20,0.85,1.85,0.0,47,2.35,-1.0,0,0
Austria,29,12,4,13,43,47,23,1,7,4,0.41379310344827586,-4,1.4827586206896552,1.6206896551724137,0.5714285714285714,25,0.8620689655172413,-0.13793103448275862,0,0
Belgium,51,22,9,20,69,74,53,3,15,6,0.43137254901960786,-5,1.3529411764705883,1.4509803921568627,0.4,59,1.1568627450980393,-0.09803921568627451,0,0
Bolivia,6,0,1,5,1,20,7,2,0,0,0.0,-19,0.16666666666666666,3.3333333333333335,0.0,11,1.8333333333333333,-3.1666666666666665,0,0
Bosnia and Herzegovina,3,1,0,2,4,4,3,0,0,0,0.3333333333333333,0,1.3333333333333333,1.3333333333333333,0.0,3,1.0,0.0,0,0
Brazil,114,79,14,21,237,108,111,10,45,31,0.6929824561403509,129,2.0789473684210527,0.9473684210526315,0.6888888888888889,131,1.1491228070175439,1.131578947368421,5,1
Bulgaria,26,4,7,15,22,53,36,3,5,2,0.15384615384615385,-31,0.8461538461538461,2.0384615384615383,0.4,42,1.6153846153846154,-1.1923076923076923,0,0
Cameroon,26,5,8,13,22,47,54,9,2,1,0.19230769230769232,-25,0.8461538461538461,1.8076923076923077,0.5,72,2.769230769230769,-0.9615384615384616,0,0
Canada,6,0,0,6,2,12,10,1,0,0,0.0,-10,0.3333333333333333,2.0,0.0,12,2.0,-1.6666666666666667,0,0
Chile,33,11,6,16,40,49,44,3,6,2,0.3333333333333333,-9,1.2121212121212122,1.4848484848484849,0.3333333333333333,50,1.5151515151515151,-0.2727272727272727,0,0
China PR,3,0,0,3,0,9,5,1,0,0,0.0,-9,0.0,3.0,0.0,7,2.3333333333333335,-3.0,0,0
Colombia,22,9,2,11,32,30,31,1,4,1,0.4090909090909091,2,1.4545454545454546,1.3636363636363635,0.25,33,1.5,0.09090909090909091,0,0
Costa Rica,21,7,3,11,22,39,43,1,3,1,0.3333333333333333,-17,1.0476190476190477,1.8571428571428572,0.3333333333333333,45,2.142857142857143,-0.8095238095238095,0,0
Croatia,30,17,4,9,43,33,58,4,12,9,0.5666666666666667,10,1.4333333333333333,1.1,0.75,66,2.2,0.3333333333333333,0,0
Cuba,3,1,1,1,5,12,0,0,3,1,0.3333333333333333,-7,1.6666666666666667,4.0,0.3333333333333333,0,0.0,-2.3333333333333335,0,0
Czech Republic,33,12,5,16,47,49,24,6,12,7,0.36363636363636365,-2,1.4242424242424243,1.4848484848484849,0.5833333333333334,36,1.0909090909090908,-0.06060606060606061,0,0
Côte d'Ivoire,9,3,1,5,13,14,19,1,0,0,0.3333333333333333,-1,1.4444444444444444,1.5555555555555556,0.0,21,2.3333333333333335,-0.1111111111111111,0,0
Denmark,23,9,5,9,31,29,42,3,5,1,0.391304347826087,2,1.3478260869565217,1.2608695652173914,0.2,48,2.0869565217391304,0.08695652173913043,0,0
Dutch East Indies,1,0,0,1,0,6,0,0,1,0,0.0,-6,0.0,6.0,0.0,0,0.0,-6.0,0,0
Ecuador,13,5,2,6,14,14,26,1,1,0,0.38461538461538464,0,1.0769230769230769,1.0769230769230769,0.0,28,2.1538461538461537,0.0,0,0
Egypt,7,0,2,5,5,12,9,0,1,0,0.0,-7,0.7142857142857143,1.7142857142857142,0.0,9,1.2857142857142858,-1.0,0,0
El Salvador,6,0,0,6,1,22,9,0,0,0,0.0,-21,0.16666666666666666,3.6666666666666665,0.0,9,1.5,-3.5,0,0
England,74,33,18,23,104,68,59,3,24,11,0.44594594594594594,36,1.4054054054054055,0.918918918918919,0.4583333333333333,65,0.8783783783783784,0.4864864864864865,1,1
France,73,41,9,23,136,85,77,6,30,21,0.5616438356164384,51,1.8630136986301369,1.1643835616438356,0.7,89,1.2191780821917808,0.6986301369863014,2,1
Germany,112,72,17,23,232,130,116,8,50,35,0.6428571428571429,102,2.0714285714285716,1.1607142857142858,0.7,132,1.1785714285714286,0.9107142857142857,4,1
