Team,titles,is_champion,cluster,pca1,pca2,champion_probability,team_profile,win_rate,avg_goals_scored,avg_goals_conceded,knockout_win_rate
Algeria,0,0,3,-0.3744599305028377,-0.6659725361216073,0.591,Strong Nations,0.23076923076923078,1.0,1.4615384615384615,0.0
Angola,0,0,3,-1.3986276893162788,-1.7766053928936616,0.368,Strong Nations,0.0,0.3333333333333333,0.6666666666666666,0.0
Argentina,3,1,0,2.9081449207148444,0.4515392443414679,1.0,World Cup Champions,0.6022727272727273,1.7272727272727273,1.1477272727272727,0.6551724137931034
Australia,0,0,3,-0.7648756555178513,-0.368076928441868,0.611,Strong Nations,0.2,0.85,1.85,0.0
Austria,0,0,1,1.7606099888298896,0.5882657941449125,0.904,Elite Contenders,0.41379310344827586,1.4827586206896552,1.6206896551724137,0.5714285714285714
Belgium,0,0,1,1.3922160211491152,0.14125459815226102,0.945,Elite Contenders,0.43137254901960786,1.3529411764705883,1.4509803921568627,0.4
Bolivia,0,0,2,-2.6048028137643913,0.6858864299008594,0.469,Emerging Teams,0.0,0.16666666666666666,3.3333333333333335,0.0
Bosnia and Herzegovina,0,0,3,0.30545334893350123,-0.6145361129415507,0.519,Strong Nations,0.3333333333333333,1.3333333333333333,1.3333333333333333,0.0
Brazil,5,1,0,3.6701807601997025,0.48404908255032897,0.946,World Cup Champions,0.6929824561403509,2.0789473684210527,0.9473684210526315,0.6888888888888889
Bulgaria,0,0,1,-0.14606380758387513,0.36826379785131974,0.616,Elite Contenders,0.15384615384615385,0.8461538461538461,2.0384615384615383,0.4
Cameroon,0,0,1,0.2624797882531965,0.31708300341677215,0.592,Elite Contenders,0.19230769230769232,0.8461538461538461,1.8076923076923077,0.5
Canada,0,0,3,-1.9183633816135288,-0.5160986900652164,0.515,Strong Nations,0.0,0.3333333333333333,2.0,0.0
Chile,0,0,1,0.8164538452014837,-0.026739889996425743,0.877,Elite Contenders,0.3333333333333333,1.2121212121212122,1.4848484848484849,0.3333333333333333
China PR,0,0,2,-2.6415726305436906,0.3122381713313786,0.444,Emerging Teams,0.0,0.0,3.0,0.0
Colombia,0,0,1,1.1523843356432846,-0.13692350207018011,0.785,Elite Contenders,0.4090909090909091,1.4545454545454546,1.3636363636363635,0.25
Costa Rica,0,0,1,0.5067940839902447,0.2674582114746326,0.85,Elite Contenders,0.3333333333333333,1.0476190476190477,1.8571428571428572,0.3333333333333333
Croatia,0,0,0,2.7264638720171814,0.4224841118908712,0.78,World Cup Champions,0.5666666666666667,1.4333333333333333,1.1,0.75
Cuba,0,0,1,0.29068989796879524,2.510638434509149,0.368,Elite Contenders,0.3333333333333333,1.6666666666666667,4.0,0.3333333333333333
Czech Republic,0,0,1,1.6347090768458932,0.4295066458223628,0.793,Elite Contenders,0.36363636363636365,1.4242424242424243,1.4848484848484849,0.5833333333333334
Côte d'Ivoire,0,0,3,0.329966560119701,-0.36543727389523,0.487,Strong Nations,0.3333333333333333,1.4444444444444444,1.5555555555555556,0.0
Denmark,0,0,1,0.9305807028603351,-0.35425856588080973,0.746,Elite Contenders,0.391304347826087,1.3478260869565217,1.2608695652173914,0.2
Dutch East Indies,0,0,2,-3.8109779382125035,3.1483782526953803,0.0,Emerging Teams,0.0,0.0,6.0,0.0
Ecuador,0,0,3,0.2972008354122972,-0.9191765399870244,0.483,Strong Nations,0.38461538461538464,1.0769230769230769,1.0769230769230769,0.0
Egypt,0,0,3,-1.425954327884433,-0.6524436512716102,0.431,Strong Nations,0.0,0.7142857142857143,1.7142857142857142,0.0
El Salvador,0,0,2,-2.7347367368387037,1.0010131056079703,0.436,Emerging Teams,0.0,0.16666666666666666,3.6666666666666665,0.0
England,1,1,1,1.8152023072671786,-0.25017866245964154,0.956,Elite Contenders,0.44594594594594594,1.4054054054054055,0.918918918918919,0.4583333333333333
France,2,1,0,3.012926015371229,0.5584341270924033,0.976,World Cup Champions,0.5616438356164384,1.8630136986301369,1.1643835616438356,0.7
Germany,4,1,0,3.457619773728772,0.6721683043976455,0.966,World Cup Champions,0.6428571428571429,2.0714285714285716,1.1607142857142858,0.7
Germany DR,0,0,3,0.00024301398413349143,-1.2627908750893257,0.482,Strong Nations,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.0
Ghana,0,0,1,0.7854304571285936,0.0148406022618909,0.879,Elite Contenders,0.3333333333333333,1.2,1.5333333333333334,0.3333333333333333
Greece,0,0,3,-1.1734237745938774,-0.3491652483846439,0.547,Strong Nations,0.2,0.5,2.0,0.0
Haiti,0,0,2,-2.624427286500805,2.1219578813164133,0.278,Emerging Teams,0.0,0.6666666666666666,4.666666666666667,0.0
