Team,Year,Stage,Era,matches_played,wins,draws,losses,goals_scored,goals_conceded,win_rate,goal_difference,avg_goals_scored,avg_goals_conceded,is_champion_year
Algeria,1982,Fase de Grupos,Modern Era,3,2,0,1,5,5,0.6666666666666666,0,1.6666666666666667,1.6666666666666667,0
Algeria,1986,Fase de Grupos,Modern Era,3,0,1,2,1,5,0.0,-4,0.3333333333333333,1.6666666666666667,0
Algeria,2010,Fase de Grupos,Contemporary Era,3,0,1,2,0,2,0.0,-2,0.0,0.6666666666666666,0
Algeria,2014,Fase de Grupos,Contemporary Era,3,1,1,1,6,5,0.3333333333333333,1,2.0,1.6666666666666667,0
Algeria,2014,Oitavas de Final,Contemporary Era,1,0,0,1,1,2,0.0,-1,1.0,2.0,0
Angola,2006,Fase de Grupos,Contemporary Era,3,0,2,1,1,2,0.0,-1,0.3333333333333333,0.6666666666666666,0
Argentina,1930,Fase de Grupos,Classic Era,3,3,0,0,10,4,1.0,6,3.3333333333333335,1.3333333333333333,0
Argentina,1930,Final,Classic Era,1,0,0,1,2,4,0.0,-2,2.0,4.0,0
Argentina,1930,Semi-finais,Classic Era,1,1,0,0,6,1,1.0,5,6.0,1.0,0
Argentina,1934,Oitavas de Final,Classic Era,1,0,0,1,2,3,0.0,-1,2.0,3.0,0
Argentina,1958,Fase de Grupos,Classic Era,3,1,0,2,5,10,0.3333333333333333,-5,1.6666666666666667,3.3333333333333335,0
Argentina,1962,Fase de Grupos,Classic Era,3,1,1,1,2,3,0.3333333333333333,-1,0.6666666666666666,1.0,0
Argentina,1966,Fase de Grupos,Classic Era,3,2,1,0,4,1,0.6666666666666666,3,1.3333333333333333,0.3333333333333333,0
Argentina,1966,Quartas de Final,Classic Era,1,0,0,1,0,1,0.0,-1,0.0,1.0,0
Argentina,1974,Fase de Grupos,Modern Era,6,1,2,3,9,12,0.16666666666666666,-3,1.5,2.0,0
Argentina,1978,Fase de Grupos,Modern Era,6,4,1,1,12,3,0.6666666666666666,9,2.0,0.5,1
Argentina,1978,Final,Modern Era,1,1,0,0,3,1,1.0,2,3.0,1.0,1
Argentina,1982,Fase de Grupos,Modern Era,5,2,0,3,8,7,0.4,1,1.6,1.4,0
Argentina,1986,Fase de Grupos,Modern Era,3,2,1,0,6,2,0.6666666666666666,4,2.0,0.6666666666666666,1
Argentina,1986,Final,Modern Era,1,1,0,0,3,2,1.0,1,3.0,2.0,1
Argentina,1986,Oitavas de Final,Modern Era,1,1,0,0,1,0,1.0,1,1.0,0.0,1
Argentina,1986,Quartas de Final,Modern Era,1,1,0,0,2,1,1.0,1,2.0,1.0,1
Argentina,1986,Semi-finais,Modern Era,1,1,0,0,2,0,1.0,2,2.0,0.0,1
Argentina,1990,Fase de Grupos,Modern Era,3,1,1,1,3,2,0.3333333333333333,1,1.0,0.6666666666666666,0
Argentina,1990,Final,Modern Era,1,0,0,1,0,1,0.0,-1,0.0,1.0,0
Argentina,1990,Oitavas de Final,Modern Era,1,1,0,0,1,0,1.0,1,1.0,0.0,0
Argentina,1990,Quartas de Final,Modern Era,1,1,0,0,0,0,1.0,0,0.0,0.0,0
Argentina,1990,Semi-finais,Modern Era,1,1,0,0,1,1,1.0,0,1.0,1.0,0
Argentina,1994,Fase de Grupos,Modern Era,3,2,0,1,6,3,0.6666666666666666,3,2.0,1.0,0
Argentina,1994,Oitavas de Final,Modern Era,1,0,0,1,2,3,0.0,-1,2.0,3.0,0
Argentina,1998,Fase de Grupos,Modern Era,3,3,0,0,7,0,1.0,7,2.3333333333333335,0.0,0
Argentina,1998,Oitavas de Final,Modern Era,1,1,0,0,2,2,1.0,0,2.0,2.0,0
Argentina,1998,Quartas de Final,Modern Era,1,0,0,1,1,2,0.0,-1,1.0,2.0,0
Argentina,2002,Fase de Grupos,Modern Era,3,1,1,1,2,2,0.3333333333333333,0,0.6666666666666666,0.6666666666666666,0
Argentina,2006,Fase de Grupos,Contemporary Era,3,2,1,0,8,1,0.6666666666666666,7,2.6666666666666665,0.3333333333333333,0
Argentina,2006,Oitavas de Final,Contemporary Era,1,1,0,0,2,1,1.0,1,2.0,1.0,0
Argentina,2006,Quartas de Final,Contemporary Era,1,0,0,1,1,1,0.0,0,1.0,1.0,0
Argentina,2010,Fase de Grupos,Contemporary Era,3,3,0,0,7,1,1.0,6,2.3333333333333335,0.3333333333333333,0
Argentina,2010,Oitavas de Final,Contemporary Era,1,1,0,0,3,1,1.0,2,3.0,1.0,0
Argentina,2010,Quartas de Final,Contemporary Era,1,0,0,1,0,4,0.0,-4,0.0,4.0,0
Argentina,2014,Fase de Grupos,Contemporary Era,3,3,0,0,6,3,1.0,3,2.0,1.0,0
Argentina,2014,Final,Contemporary Era,1,0,0,1,0,1,0.0,-1,0.0,1.0,0
Argentina,2014,Oitavas de Final,Contemporary Era,1,1,0,0,1,0,1.0,1,1.0,0.0,0
Argentina,2014,Quartas de Final,Contemporary Era,1,1,0,0,1,0,1.0,1,1.0,0.0,0
Argentina,2014,Semi-finais,Contemporary Era,1,1,0,0,0,0,1.0,0,0.0,0.0,0
Argentina,2018,Fase de Grupos,Contemporary Era,3,1,1,1,3,5,0.3333333333333333,-2,1.0,1.6666666666666667,0
Argentina,2018,Oitavas de Final,Contemporary Era,1,0,0,1,3,4,0.0,-1,3.0,4.0,0
Argentina,2022,Fase de Grupos,Contemporary Era,3,2,0,1,5,2,0.6666666666666666,3,1.6666666666666667,0.6666666666666666,1
Argentina,2022,Final,Contemporary Era,1,1,0,0,3,3,1.0,0,3.0,3.0,1
Argentina,2022,Oitavas de Final,Contemporary Era,1,1,0,0,2,1,1.0,1,2.0,1.0,1
Argentina,2022,Quartas de Final,Contemporary Era,1,1,0,0,2,2,1.0,0,2.0,2.0,1
Argentina,2022,Semi-finais,Contemporary Era,1,1,0,0,3,0,1.0,3,3.0,0.0,1
Australia,1974,Fase de Grupos,Modern Era,3,0,1,2,0,5,0.0,-5,0.0,1.6666666666666667,0
Australia,2006,Fase de Grupos,Contemporary Era,3,1,1,1,5,5,0.3333333333333333,0,1.6666666666666667,1.6666666666666667,0
Australia,2006,Oitavas de Final,Contemporary Era,1,0,0,1,0,1,0.0,-1,0.0,1.0,0
Australia,2010,Fase de Grupos,Contemporary Era,3,1,1,1,3,6,0.3333333333333333,-3,1.0,2.0,0
Australia,2014,Fase de Grupos,Contemporary Era,3,0,0,3,3,9,0.0,-6,1.0,3.0,0
Australia,2018,Fase de Grupos,Contemporary Era,3,0,1,2,2,5,0.0,-3,0.6666666666666666,1.6666666666666667,0
Australia,2022,Fase de Grupos,Contemporary Era,3,2,0,1,3,4,0.6666666666666666,-1,1.0,1.3333333333333333,0
Australia,2022,Oitavas de Final,Contemporary Era,1,0,0,1,1,2,0.0,-1,1.0,2.0,0
