"champion","year","gols_totais","total_partidas","media_gols_partida","gols_sofridos","media_gols_sofridos_partida","saldo_gols"
Argentina,2022,23,7,3.29,8,1.14,15
France,2018,20,7,2.86,6,0.86,14
Germany,2014,22,7,3.14,4,0.57,18
Spain,2010,10,7,1.43,2,0.29,8
Italy,2006,14,7,2.00,2,0.29,12
Brazil,2002,22,7,3.14,4,0.57,18
France,1998,17,7,2.43,2,0.29,15
Brazil,1994,14,7,2.00,3,0.43,11
West Germany,1990,20,7,2.86,5,0.71,15
Argentina,1986,19,7,2.71,5,0.71,14
Italy,1982,18,7,2.57,6,0.86,12
Argentina,1978,19,7,2.71,4,0.57,15
West Germany,1974,17,7,2.43,4,0.57,13
Brazil,1970,26,6,4.33,7,1.17,19
England,1966,14,6,2.33,3,0.50,11
Brazil,1962,19,6,3.17,5,0.83,14
Brazil,1958,20,6,3.33,4,0.67,16
Germany,1954,39,6,6.50,14,2.33,25
Uruguay,1950,20,4,5.00,5,1.25,15
Italy,1938,16,4,4.00,5,1.25,11
Italy,1934,15,5,3.00,3,0.60,12
Uruguay,1930,18,4,4.50,3,0.75,15
