,home_team,away_team,home_score,away_score,home_penalty,away_penalty,total_goals,Winner,Stage,Year,Date,Host,Venue,Attendance,h_red_card_count,a_red_card_count,h_yellow_red_card_count,a_yellow_red_card_count,h_yellow_card_long_count,a_yellow_card_long_count
0,Argentina,France,3,3,4.0,2.0,6,Argentina,Final,2022,2022-12-18,Qatar,"Lusail Iconic Stadium, Lusail",88966,0,0,0,0,5,3
1,Croatia,Morocco,2,1,,,3,Croatia,Terceiro Lugar,2022,2022-12-17,Qatar,"Khalifa International Stadium, Doha",44137,0,0,0,0,0,2
2,France,Morocco,2,0,,,2,France,Semi-finais,2022,2022-12-14,Qatar,"Al Bayt Stadium, Al Khor",68294,0,0,0,0,0,1
3,Argentina,Croatia,3,0,,,3,Argentina,Semi-finais,2022,2022-12-13,Qatar,"Lusail Iconic Stadium, Lusail",88966,0,0,0,0,2,2
4,Morocco,Portugal,1,0,,,1,Morocco,Quartas de Final,2022,2022-12-10,Qatar,"Al Thumama Stadium, ath-Thumāma",44198,0,0,1,0,2,1
5,England,France,1,2,,,3,France,Quartas de Final,2022,2022-12-10,Qatar,"Al Bayt Stadium, Al Khor",68895,0,0,0,0,1,3
6,Croatia,Brazil,1,1,4.0,2.0,2,Croatia,Quartas de Final,2022,2022-12-09,Qatar,"Education City Stadium, Doha",43893,0,0,0,0,2,3
7,Netherlands,Argentina,2,2,3.0,4.0,4,Argentina,Quartas de Final,2022,2022-12-09,Qatar,"Lusail Iconic Stadium, Lusail",88235,0,0,1,0,7,10
8,Morocco,Spain,0,0,3.0,0.0,0,Morocco,Oitavas de Final,2022,2022-12-06,Qatar,"Education City Stadium, Doha",44667,0,0,0,0,1,1
9,Portugal,Switzerland,6,1,,,7,Portugal,Oitavas de Final,2022,2022-12-06,Qatar,"Lusail Iconic Stadium, Lusail",83720,0,0,0,0,0,2
10,Japan,Croatia,1,1,1.0,3.0,2,Croatia,Oitavas de Final,2022,2022-12-05,Qatar,"Al Janoub Stadium, Al Wakrah",42523,0,0,0,0,0,2
11,Brazil,Korea Republic,4,1,,,5,Brazil,Oitavas de Final,2022,2022-12-05,Qatar,"Stadium 974, Doha",43847,0,0,0,0,0,1
12,France,Poland,3,1,,,4,France,Oitavas de Final,2022,2022-12-04,Qatar,"Al Thumama Stadium, ath-Thumāma",40989,0,0,0,0,1,2
13,England,Senegal,3,0,,,3,England,Oitavas de Final,2022,2022-12-04,Qatar,"Al Bayt Stadium, Al Khor",65985,0,0,0,0,0,1
14,Netherlands,United States,3,1,,,4,Netherlands,Oitavas de Final,2022,2022-12-03,Qatar,"Khalifa International Stadium, Doha",44846,0,0,0,0,2,0
15,Argentina,Australia,2,1,,,3,Argentina,Oitavas de Final,2022,2022-12-03,Qatar,"Ahmed bin Ali Stadium, Umm al-Afā'ī",45032,0,0,0,0,0,2
16,Korea Republic,Portugal,2,1,,,3,Korea Republic,Fase de Grupos,2022,2022-12-02,Qatar,"Education City Stadium, Doha",44097,0,0,0,0,2,0
17,Ghana,Uruguay,0,2,,,2,Uruguay,Fase de Grupos,2022,2022-12-02,Qatar,"Al Janoub Stadium, Al Wakrah",43443,0,0,0,0,2,5
