home_team,away_team,home_score,away_score,home_penalty,away_penalty,total_goals,Winner,Stage,Year,Date,Host,Venue,Attendance,home_red_cards,away_red_cards,home_yellow_red_cards,away_yellow_red_cards
Argentina,France,3,3,4.0,2.0,6,Argentina,Final,2022,2022-12-18,Qatar,"Lusail Iconic Stadium, Lusail",88966,0,0,0,0
Croatia,Morocco,2,1,,,3,Croatia,Terceiro Lugar,2022,2022-12-17,Qatar,"Khalifa International Stadium, Doha",44137,0,0,0,0
France,Morocco,2,0,,,2,France,Semi-finais,2022,2022-12-14,Qatar,"Al Bayt Stadium, Al Khor",68294,0,0,0,0
Argentina,Croatia,3,0,,,3,Argentina,Semi-finais,2022,2022-12-13,Qatar,"Lusail Iconic Stadium, Lusail",88966,0,0,0,0
Morocco,Portugal,1,0,,,1,Morocco,Quartas de Final,2022,2022-12-10,Qatar,"Al Thumama Stadium, ath-Thumāma",44198,0,0,1,0
England,France,1,2,,,3,France,Quartas de Final,2022,2022-12-10,Qatar,"Al Bayt Stadium, Al Khor",68895,0,0,0,0
Croatia,Brazil,1,1,4.0,2.0,2,Croatia,Quartas de Final,2022,2022-12-09,Qatar,"Education City Stadium, Doha",43893,0,0,0,0
Netherlands,Argentina,2,2,3.0,4.0,4,Argentina,Quartas de Final,2022,2022-12-09,Qatar,"Lusail Iconic Stadium, Lusail",88235,0,0,1,0
Morocco,Spain,0,0,3.0,0.0,0,Morocco,Oitavas de Final,2022,2022-12-06,Qatar,"Education City Stadium, Doha",44667,0,0,0,0
Portugal,Switzerland,6,1,,,7,Portugal,Oitavas de Final,2022,2022-12-06,Qatar,"Lusail Iconic Stadium, Lusail",83720,0,0,0,0
Japan,Croatia,1,1,1.0,3.0,2,Croatia,Oitavas de Final,2022,2022-12-05,Qatar,"Al Janoub Stadium, Al Wakrah",42523,0,0,0,0
Brazil,Korea Republic,4,1,,,5,Brazil,Oitavas de Final,2022,2022-12-05,Qatar,"Stadium 974, Doha",43847,0,0,0,0
France,Poland,3,1,,,4,France,Oitavas de Final,2022,2022-12-04,Qatar,"Al Thumama Stadium, ath-Thumāma",40989,0,0,0,0
England,Senegal,3,0,,,3,England,Oitavas de Final,2022,2022-12-04,Qatar,"Al Bayt Stadium, Al Khor",65985,0,0,0,0
Netherlands,United States,3,1,,,4,Netherlands,Oitavas de Final,2022,2022-12-03,Qatar,"Khalifa International Stadium, Doha",44846,0,0,0,0
Argentina,Australia,2,1,,,3,Argentina,Oitavas de Final,2022,2022-12-03,Qatar,"Ahmed bin Ali Stadium, Umm al-Afā'ī",45032,0,0,0,0
Korea Republic,Portugal,2,1,,,3,Korea Republic,Fase de Grupos,2022,2022-12-02,Qatar,"Education City Stadium, Doha",44097,0,0,0,0
Ghana,Uruguay,0,2,,,2,Uruguay,Fase de Grupos,2022,2022-12-02,Qatar,"Al Janoub Stadium, Al Wakrah",43443,0,0,0,0
Cameroon,Brazil,1,0,,,1,Cameroon,Fase de Grupos,2022,2022-12-02,Qatar,"Lusail Iconic Stadium, Lusail",85986,0,0,1,0
Serbia,Switzerland,2,3,,,5,Switzerland,Fase de Grupos,2022,2022-12-02,Qatar,"Stadium 974, Doha",41378,0,0,0,0
Canada,Morocco,1,2,,,3,Morocco,Fase de Grupos,2022,2022-12-01,Qatar,"Al Thumama Stadium, ath-Thumāma",43102,0,0,0,0
Croatia,Belgium,0,0,,,0,Draw,Fase de Grupos,2022,2022-12-01,Qatar,"Ahmed bin Ali Stadium, Umm al-Afā'ī",43984,0,0,0,0
Costa Rica,Germany,2,4,,,6,Germany,Fase de Grupos,2022,2022-12-01,Qatar,"Al Bayt Stadium, Al Khor",67054,0,0,0,0
Japan,Spain,2,1,,,3,Japan,Fase de Grupos,2022,2022-12-01,Qatar,"Khalifa International Stadium, Doha",44851,0,0,0,0
Australia,Denmark,1,0,,,1,Australia,Fase de Grupos,2022,2022-11-30,Qatar,"Al Janoub Stadium, Al Wakrah",41232,0,0,0,0
Tunisia,France,1,0,,,1,Tunisia,Fase de Grupos,2022,2022-11-30,Qatar,"Education City Stadium, Doha",43627,0,0,0,0
Saudi Arabia,Mexico,1,2,,,3,Mexico,Fase de Grupos,2022,2022-11-30,Qatar,"Lusail Iconic Stadium, Lusail",84985,0,0,0,0
Poland,Argentina,0,2,,,2,Argentina,Fase de Grupos,2022,2022-11-30,Qatar,"Stadium 974, Doha",44089,0,0,0,0
Ecuador,Senegal,1,2,,,3,Senegal,Fase de Grupos,2022,2022-11-29,Qatar,"Khalifa International Stadium, Doha",44569,0,0,0,0
Netherlands,Qatar,2,0,,,2,Netherlands,Fase de Grupos,2022,2022-11-29,Qatar,"Al Bayt Stadium, Al Khor",66784,0,0,0,0
IR Iran,United States,0,1,,,1,United States,Fase de Grupos,2022,2022-11-29,Qatar,"Al Thumama Stadium, ath-Thumāma",42127,0,0,0,0
Wales,England,0,3,,,3,England,Fase de Grupos,2022,2022-11-29,Qatar,"Ahmed bin Ali Stadium, Umm al-Afā'ī",44297,0,0,0,0
Cameroon,Serbia,3,3,,,6,Draw,Fase de Grupos,2022,2022-11-28,Qatar,"Al Janoub Stadium, Al Wakrah",39789,0,0,0,0
Korea Republic,Ghana,2,3,,,5,Ghana,Fase de Grupos,2022,2022-11-28,Qatar,"Education City Stadium, Doha",43983,1,0,0,0
Brazil,Switzerland,1,0,,,1,Brazil,Fase de Grupos,2022,2022-11-28,Qatar,"Stadium 974, Doha",43649,0,0,0,0
Portugal,Uruguay,2,0,,,2,Portugal,Fase de Grupos,2022,2022-11-28,Qatar,"Lusail Iconic Stadium, Lusail",88668,0,0,0,0
Japan,Costa Rica,0,1,,,1,Costa Rica,Fase de Grupos,2022,2022-11-27,Qatar,"Ahmed bin Ali Stadium, Umm al-Afā'ī",41479,0,0,0,0
Belgium,Morocco,0,2,,,2,Morocco,Fase de Grupos,2022,2022-11-27,Qatar,"Al Thumama Stadium, ath-Thumāma",43738,0,0,0,0
Croatia,Canada,4,1,,,5,Croatia,Fase de Grupos,2022,2022-11-27,Qatar,"Khalifa International Stadium, Doha",44374,0,0,0,0
Spain,Germany,1,1,,,2,Draw,Fase de Grupos,2022,2022-11-27,Qatar,"Al Bayt Stadium, Al Khor",68895,0,0,0,0
Tunisia,Australia,0,1,,,1,Australia,Fase de Grupos,2022,2022-11-26,Qatar,"Al Janoub Stadium, Al Wakrah",41823,0,0,0,0
Poland,Saudi Arabia,2,0,,,2,Poland,Fase de Grupos,2022,2022-11-26,Qatar,"Education City Stadium, Doha",44259,0,0,0,0
France,Denmark,2,1,,,3,France,Fase de Grupos,2022,2022-11-26,Qatar,"Stadium 974, Doha",42860,0,0,0,0
Argentina,Mexico,2,0,,,2,Argentina,Fase de Grupos,2022,2022-11-26,Qatar,"Lusail Iconic Stadium, Lusail",88966,0,0,0,0
Wales,IR Iran,0,2,,,2,IR Iran,Fase de Grupos,2022,2022-11-25,Qatar,"Ahmed bin Ali Stadium, Umm al-Afā'ī",40875,1,0,0,0
Qatar,Senegal,1,3,,,4,Senegal,Fase de Grupos,2022,2022-11-25,Qatar,"Al Thumama Stadium, ath-Thumāma",41797,0,0,0,0
Netherlands,Ecuador,1,1,,,2,Draw,Fase de Grupos,2022,2022-11-25,Qatar,"Khalifa International Stadium, Doha",44833,0,0,0,0
England,United States,0,0,,,0,Draw,Fase de Grupos,2022,2022-11-25,Qatar,"Al Bayt Stadium, Al Khor",68463,0,0,0,0
Switzerland,Cameroon,1,0,,,1,Switzerland,Fase de Grupos,2022,2022-11-24,Qatar,"Al Janoub Stadium, Al Wakrah",39089,0,0,0,0
Uruguay,Korea Republic,0,0,,,0,Draw,Fase de Grupos,2022,2022-11-24,Qatar,"Education City Stadium, Doha",41663,0,0,0,0
Portugal,Ghana,3,2,,,5,Portugal,Fase de Grupos,2022,2022-11-24,Qatar,"Stadium 974, Doha",42662,0,0,0,0
Brazil,Serbia,2,0,,,2,Brazil,Fase de Grupos,2022,2022-11-24,Qatar,"Lusail Iconic Stadium, Lusail",88103,0,0,0,0
Morocco,Croatia,0,0,,,0,Draw,Fase de Grupos,2022,2022-11-23,Qatar,"Al Bayt Stadium, Al Khor",59407,0,0,0,0
Germany,Japan,1,2,,,3,Japan,Fase de Grupos,2022,2022-11-23,Qatar,"Khalifa International Stadium, Doha",42608,0,0,0,0
Spain,Costa Rica,7,0,,,7,Spain,Fase de Grupos,2022,2022-11-23,Qatar,"Al Thumama Stadium, ath-Thumāma",40013,0,0,0,0
Belgium,Canada,1,0,,,1,Belgium,Fase de Grupos,2022,2022-11-23,Qatar,"Ahmed bin Ali Stadium, Umm al-Afā'ī",40432,0,0,0,0
Argentina,Saudi Arabia,1,2,,,3,Saudi Arabia,Fase de Grupos,2022,2022-11-22,Qatar,"Lusail Iconic Stadium, Lusail",88012,0,0,0,0
Denmark,Tunisia,0,0,,,0,Draw,Fase de Grupos,2022,2022-11-22,Qatar,"Education City Stadium, Doha",42925,0,0,0,0
Mexico,Poland,0,0,,,0,Draw,Fase de Grupos,2022,2022-11-22,Qatar,"Stadium 974, Doha",39369,0,0,0,0
France,Australia,4,1,,,5,France,Fase de Grupos,2022,2022-11-22,Qatar,"Al Janoub Stadium, Al Wakrah",40875,0,0,0,0
England,IR Iran,6,2,,,8,England,Fase de Grupos,2022,2022-11-21,Qatar,"Khalifa International Stadium, Doha",45334,0,0,0,0
Senegal,Netherlands,0,2,,,2,Netherlands,Fase de Grupos,2022,2022-11-21,Qatar,"Al Thumama Stadium, ath-Thumāma",41721,0,0,0,0
United States,Wales,1,1,,,2,Draw,Fase de Grupos,2022,2022-11-21,Qatar,"Ahmed bin Ali Stadium, Umm al-Afā'ī",43418,0,0,0,0
Qatar,Ecuador,0,2,,,2,Ecuador,Fase de Grupos,2022,2022-11-20,Qatar,"Al Bayt Stadium, Al Khor",67372,0,0,0,0
France,Croatia,4,2,,,6,France,Final,2018,2018-07-15,Russia,"Olimpiyskiy stadion Luzhniki, Moskva",78011,0,0,0,0
Belgium,England,2,0,,,2,Belgium,Terceiro Lugar,2018,2018-07-14,Russia,"Gazprom Arena, Sankt-Petersburg",64406,0,0,0,0
Croatia,England,2,1,,,3,Croatia,Semi-finais,2018,2018-07-11,Russia,"Olimpiyskiy stadion Luzhniki, Moskva",78011,0,0,0,0
France,Belgium,1,0,,,1,France,Semi-finais,2018,2018-07-10,Russia,"Gazprom Arena, Sankt-Petersburg",64286,0,0,0,0
Sweden,England,0,2,,,2,England,Quartas de Final,2018,2018-07-07,Russia,"Cosmos Arena, Samara",39991,0,0,0,0
Russia,Croatia,2,2,3.0,4.0,4,Croatia,Quartas de Final,2018,2018-07-07,Russia,"Olimpiyskiy Stadion Fisht, Sochi",44287,0,0,0,0
Uruguay,France,0,2,,,2,France,Quartas de Final,2018,2018-07-06,Russia,"Stadion Nizhny Novgorod, Nizhny Novgorod",43319,0,0,0,0
Brazil,Belgium,1,2,,,3,Belgium,Quartas de Final,2018,2018-07-06,Russia,"Kazan Arena, Kazan",42873,0,0,0,0
Sweden,Switzerland,1,0,,,1,Sweden,Oitavas de Final,2018,2018-07-03,Russia,"Gazprom Arena, Sankt-Petersburg",64042,0,1,0,0
Colombia,England,1,1,3.0,4.0,2,England,Oitavas de Final,2018,2018-07-03,Russia,"Otkrytie Arena, Moskva",44190,0,0,0,0
Brazil,Mexico,2,0,,,2,Brazil,Oitavas de Final,2018,2018-07-02,Russia,"Cosmos Arena, Samara",41970,0,0,0,0
Belgium,Japan,3,2,,,5,Belgium,Oitavas de Final,2018,2018-07-02,Russia,"Rostov Arena, Rostov-na-Donu",41466,0,0,0,0
Spain,Russia,1,1,3.0,4.0,2,Russia,Oitavas de Final,2018,2018-07-01,Russia,"Olimpiyskiy stadion Luzhniki, Moskva",78011,0,0,0,0
Croatia,Denmark,1,1,3.0,2.0,2,Croatia,Oitavas de Final,2018,2018-07-01,Russia,"Stadion Nizhny Novgorod, Nizhny Novgorod",40851,0,0,0,0
France,Argentina,4,3,,,7,France,Oitavas de Final,2018,2018-06-30,Russia,"Kazan Arena, Kazan",42873,0,0,0,0
Uruguay,Portugal,2,1,,,3,Uruguay,Oitavas de Final,2018,2018-06-30,Russia,"Olimpiyskiy Stadion Fisht, Sochi",44287,0,0,0,0
Japan,Poland,0,1,,,1,Poland,Fase de Grupos,2018,2018-06-28,Russia,"Volgograd Arena, Volgograd",42189,0,0,0,0
Senegal,Colombia,0,1,,,1,Colombia,Fase de Grupos,2018,2018-06-28,Russia,"Cosmos Arena, Samara",41970,0,0,0,0
England,Belgium,0,1,,,1,Belgium,Fase de Grupos,2018,2018-06-28,Russia,"Kaliningrad Stadium, Kaliningrad",33973,0,0,0,0
Panama,Tunisia,1,2,,,3,Tunisia,Fase de Grupos,2018,2018-06-28,Russia,"Mordovia Arena, Saransk",37168,0,0,0,0
Korea Republic,Germany,2,0,,,2,Korea Republic,Fase de Grupos,2018,2018-06-27,Russia,"Kazan Arena, Kazan",41835,0,0,0,0
Mexico,Sweden,0,3,,,3,Sweden,Fase de Grupos,2018,2018-06-27,Russia,"Stadion Central'nyj, Yekaterinburg",33061,0,0,0,0
Switzerland,Costa Rica,2,2,,,4,Draw,Fase de Grupos,2018,2018-06-27,Russia,"Stadion Nizhny Novgorod, Nizhny Novgorod",43319,0,0,0,0
Serbia,Brazil,0,2,,,2,Brazil,Fase de Grupos,2018,2018-06-27,Russia,"Otkrytie Arena, Moskva",44190,0,0,0,0
Australia,Peru,0,2,,,2,Peru,Fase de Grupos,2018,2018-06-26,Russia,"Olimpiyskiy Stadion Fisht, Sochi",44073,0,0,0,0
Denmark,France,0,0,,,0,Draw,Fase de Grupos,2018,2018-06-26,Russia,"Olimpiyskiy stadion Luzhniki, Moskva",78011,0,0,0,0
Iceland,Croatia,1,2,,,3,Croatia,Fase de Grupos,2018,2018-06-26,Russia,"Rostov Arena, Rostov-na-Donu",43472,0,0,0,0
Nigeria,Argentina,1,2,,,3,Argentina,Fase de Grupos,2018,2018-06-26,Russia,"Gazprom Arena, Sankt-Petersburg",64468,0,0,0,0
Saudi Arabia,Egypt,2,1,,,3,Saudi Arabia,Fase de Grupos,2018,2018-06-25,Russia,"Volgograd Arena, Volgograd",36823,0,0,0,0
Uruguay,Russia,3,0,,,3,Uruguay,Fase de Grupos,2018,2018-06-25,Russia,"Cosmos Arena, Samara",41970,0,0,0,1
Spain,Morocco,2,2,,,4,Draw,Fase de Grupos,2018,2018-06-25,Russia,"Kaliningrad Stadium, Kaliningrad",33973,0,0,0,0
IR Iran,Portugal,1,1,,,2,Draw,Fase de Grupos,2018,2018-06-25,Russia,"Mordovia Arena, Saransk",41685,0,0,0,0
England,Panama,6,1,,,7,England,Fase de Grupos,2018,2018-06-24,Russia,"Stadion Nizhny Novgorod, Nizhny Novgorod",43319,0,0,0,0
Japan,Senegal,2,2,,,4,Draw,Fase de Grupos,2018,2018-06-24,Russia,"Stadion Central'nyj, Yekaterinburg",32572,0,0,0,0
Poland,Colombia,0,3,,,3,Colombia,Fase de Grupos,2018,2018-06-24,Russia,"Kazan Arena, Kazan",42873,0,0,0,0
Belgium,Tunisia,5,2,,,7,Belgium,Fase de Grupos,2018,2018-06-23,Russia,"Otkrytie Arena, Moskva",44190,0,0,0,0
Korea Republic,Mexico,1,2,,,3,Mexico,Fase de Grupos,2018,2018-06-23,Russia,"Rostov Arena, Rostov-na-Donu",43472,0,0,0,0
Germany,Sweden,2,1,,,3,Germany,Fase de Grupos,2018,2018-06-23,Russia,"Olimpiyskiy Stadion Fisht, Sochi",44287,0,0,1,0
Brazil,Costa Rica,2,0,,,2,Brazil,Fase de Grupos,2018,2018-06-22,Russia,"Gazprom Arena, Sankt-Petersburg",64468,0,0,0,0
Nigeria,Iceland,2,0,,,2,Nigeria,Fase de Grupos,2018,2018-06-22,Russia,"Volgograd Arena, Volgograd",40904,0,0,0,0
Serbia,Switzerland,1,2,,,3,Switzerland,Fase de Grupos,2018,2018-06-22,Russia,"Kaliningrad Stadium, Kaliningrad",33167,0,0,0,0
Denmark,Australia,1,1,,,2,Draw,Fase de Grupos,2018,2018-06-21,Russia,"Cosmos Arena, Samara",40727,0,0,0,0
France,Peru,1,0,,,1,France,Fase de Grupos,2018,2018-06-21,Russia,"Stadion Central'nyj, Yekaterinburg",32789,0,0,0,0
